"Designator","NozzleNum","StackNum","Mid X","Mid Y","Rotation","Height","Speed","Vision","Pressure","Explanation"
""
"R32","1","L1","82.05","98.93","360.00","0.50","100","None","True","0:0805  1K"
"U$3","2","L26","17.58","24.89","180.00","0.00","100","None","True","TSSOP24 "
"R32","1","L1","82.05","145.93","360.00","0.50","100","None","True","0:0805  1K"
"U$3","2","L26","17.58","71.89","180.00","0.00","100","None","True","TSSOP24 "
"R32","1","L1","82.17","4.77","360.00","0.50","100","None","True","0:0805  1K"
"U$3","2","L26","17.58","118.89","180.00","0.00","100","None","True","TSSOP24 "
"R32","1","L1","82.20","51.88","360.00","0.50","100","None","True","0:0805  1K"
"U$3","2","L26","17.58","165.89","180.00","0.00","100","None","True","TSSOP24 "
"R32","1","L1","82.22","98.90","360.00","0.50","100","None","True","0:0805  1K"
"U$4","2","L26","72.77","24.10","360.00","0.00","100","None","True","TSSOP24 "
"R30","1","L1","92.43","170.26","360.00","0.50","100","None","True","0:0805  1K"
"U$4","2","L26","72.77","71.10","360.00","0.00","100","None","True","TSSOP24 "
"R30","1","L1","92.57","29.08","360.00","0.50","100","None","True","0:0805  1K"
"U$4","2","L26","72.77","118.10","360.00","0.00","100","None","True","TSSOP24 "
"R30","1","L1","92.57","123.21","360.00","0.50","100","None","True","0:0805  1K"
"U$4","2","L26","72.77","165.10","360.00","0.00","100","None","True","TSSOP24 "
"R30","1","L1","92.69","76.13","360.00","0.50","100","None","True","0:0805  1K"
"U$3","2","L26","116.58","24.89","180.00","0.00","100","None","True","TSSOP24 "
"R32","1","L1","181.25","51.68","360.00","0.50","100","None","True","0:0805  1K"
"U$3","2","L26","116.58","71.89","180.00","0.00","100","None","True","TSSOP24 "
"R32","1","L1","181.30","98.79","360.00","0.50","100","None","True","0:0805  1K"
"U$3","2","L26","116.58","118.89","180.00","0.00","100","None","True","TSSOP24 "
"R32","1","L1","181.34","4.66","360.00","0.50","100","None","True","0:0805  1K"
"U$3","2","L26","116.58","165.89","180.00","0.00","100","None","True","TSSOP24 "
"R30","1","L1","191.51","170.21","360.00","0.50","100","None","True","0:0805  1K"
"U$4","2","L26","171.77","24.10","360.00","0.00","100","None","True","TSSOP24 "
"R30","1","L1","191.55","76.02","360.00","0.50","100","None","True","0:0805  1K"
"U$4","2","L26","171.77","71.10","360.00","0.00","100","None","True","TSSOP24 "
"R30","1","L1","191.61","123.16","360.00","0.50","100","None","True","0:0805  1K"
"U$4","2","L26","171.77","118.10","360.00","0.00","100","None","True","TSSOP24 "
"R30","1","L1","191.65","28.91","360.00","0.50","100","None","True","0:0805  1K"
"U$4","2","L26","171.77","165.10","360.00","0.00","100","None","True","TSSOP24 "
"R3","1","L2","18.07","174.03","180.00","0.50","100","None","True","0:0805 "
"R3","1","L2","18.17","126.98","180.00","0.50","100","None","True","0:0805 "
"R3","1","L2","18.21","79.81","180.00","0.50","100","None","True","0:0805 "
"R3","1","L2","18.28","32.79","180.00","0.50","100","None","True","0:0805 "
"R4","1","L2","77.17","17.33","360.00","0.50","100","None","True","0:0805 "
