"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"LED2","LED5MM","57.4802mm","12.0904mm","57.4802mm","12.0904mm","56.2102mm","12.0904mm","T","0.00",""
"LED3","LED5MM","51.4604mm","12.0904mm","51.4604mm","12.0904mm","50.1904mm","12.0904mm","T","0.00",""
"LED4","LED5MM","45.466mm","12.0904mm","45.466mm","12.0904mm","44.196mm","12.0904mm","T","0.00",""
"LED5","LED5MM","39.4716mm","12.0904mm","39.4716mm","12.0904mm","38.2016mm","12.0904mm","T","0.00",""
"LED6","LED5MM","33.4772mm","12.0904mm","33.4772mm","12.0904mm","32.2072mm","12.0904mm","T","0.00",""
"LED7","LED5MM","27.4828mm","12.0904mm","27.4828mm","12.0904mm","26.2128mm","12.0904mm","T","0.00",""
"LED8","LED5MM","63.4746mm","18.1102mm","63.4746mm","18.1102mm","62.2046mm","18.1102mm","T","0.00",""
"LED9","LED5MM","57.4802mm","18.1102mm","57.4802mm","18.1102mm","56.2102mm","18.1102mm","T","0.00",""
"LED10","LED5MM","51.4604mm","18.1102mm","51.4604mm","18.1102mm","50.1904mm","18.1102mm","T","0.00",""
"LED11","LED5MM","45.466mm","18.1102mm","45.466mm","18.1102mm","44.196mm","18.1102mm","T","0.00",""
"LED12","LED5MM","39.4716mm","18.1102mm","39.4716mm","18.1102mm","38.2016mm","18.1102mm","T","0.00",""
"LED13","LED5MM","33.4772mm","18.1102mm","33.4772mm","18.1102mm","32.2072mm","18.1102mm","T","0.00",""
"LED14","LED5MM","27.4828mm","18.1102mm","27.4828mm","18.1102mm","26.2128mm","18.1102mm","T","0.00",""
"LED15","LED5MM","63.4746mm","24.1046mm","63.4746mm","24.1046mm","62.2046mm","24.1046mm","T","0.00",""
"LED16","LED5MM","57.4802mm","24.1046mm","57.4802mm","24.1046mm","56.2102mm","24.1046mm","T","0.00",""
"LED17","LED5MM","51.4604mm","24.1046mm","51.4604mm","24.1046mm","50.1904mm","24.1046mm","T","0.00",""
"LED18","LED5MM","45.466mm","24.1046mm","45.466mm","24.1046mm","44.196mm","24.1046mm","T","0.00",""
"LED19","LED5MM","39.4716mm","24.1046mm","39.4716mm","24.1046mm","38.2016mm","24.1046mm","T","0.00",""
"LED20","LED5MM","33.4772mm","24.1046mm","33.4772mm","24.1046mm","32.2072mm","24.1046mm","T","0.00",""
"LED21","LED5MM","27.4828mm","24.1046mm","27.4828mm","24.1046mm","26.2128mm","24.1046mm","T","0.00",""
"LED22","LED5MM","63.4746mm","30.099mm","63.4746mm","30.099mm","62.2046mm","30.099mm","T","0.00",""
"LED23","LED5MM","57.4802mm","30.099mm","57.4802mm","30.099mm","56.2102mm","30.099mm","T","0.00",""
"LED24","LED5MM","51.4604mm","30.099mm","51.4604mm","30.099mm","50.1904mm","30.099mm","T","0.00",""
"LED25","LED5MM","45.466mm","30.099mm","45.466mm","30.099mm","44.196mm","30.099mm","T","0.00",""
"LED26","LED5MM","39.4716mm","30.099mm","39.4716mm","30.099mm","38.2016mm","30.099mm","T","0.00",""
"LED27","LED5MM","33.4772mm","30.099mm","33.4772mm","30.099mm","32.2072mm","30.099mm","T","0.00",""
"LED1","LED5MM","63.4746mm","11.9888mm","63.4746mm","11.9888mm","62.2046mm","11.9888mm","T","0.00",""
"U$2","LED-TRICOLOR-SMD","86.7212mm","4.8126mm","86.7156mm","4.8006mm","87.4268mm","3.3006mm","T","0.00",""
