"Designator","NozzleNum","StackNum","Mid X","Mid Y","Rotation","Height","Speed","Vision","Pressure","Explanation"
""
"C1","1","L1","12.57","120.53","270.00","0.00","100","None","True","C0805 "
"C1","1","L1","111.47","73.66","270.00","0.00","100","None","True","C0805 "
"C1","1","L1","111.47","26.79","270.00","0.00","100","None","True","C0805 "
"C1","1","L1","12.57","26.79","270.00","0.00","100","None","True","C0805 "
"C1","1","L1","12.57","73.66","270.00","0.00","100","None","True","C0805 "
"C1","1","L1","111.47","120.53","270.00","0.00","100","None","True","C0805 "
"C1","1","L1","12.57","167.40","270.00","0.00","100","None","True","C0805 "
"C1","1","L1","111.47","167.40","270.00","0.00","100","None","True","C0805 "
"C3","1","L1","81.58","118.64","90.00","0.00","100","None","True","C0805 "
"C3","1","L1","81.58","24.90","90.00","0.00","100","None","True","C0805 "
"C3","1","L1","180.48","165.51","90.00","0.00","100","None","True","C0805 "
"C3","1","L1","81.58","71.77","90.00","0.00","100","None","True","C0805 "
"C3","1","L1","180.48","118.64","90.00","0.00","100","None","True","C0805 "
"C3","1","L1","180.48","24.90","90.00","0.00","100","None","True","C0805 "
"C3","1","L1","180.48","71.77","90.00","0.00","100","None","True","C0805 "
"C3","1","L1","81.58","165.51","90.00","0.00","100","None","True","C0805 "
"IC1","1","L1","5.66","71.86","270.00","0.00","100","None","True","SO16 "
"IC1","1","L1","104.56","165.60","270.00","0.00","100","None","True","SO16 "
"IC1","1","L1","5.66","165.60","270.00","0.00","100","None","True","SO16 "
"IC1","1","L1","5.66","24.99","270.00","0.00","100","None","True","SO16 "
"IC1","1","L1","104.56","118.73","270.00","0.00","100","None","True","SO16 "
"IC1","1","L1","104.56","71.86","270.00","0.00","100","None","True","SO16 "
"IC1","1","L1","104.56","24.99","270.00","0.00","100","None","True","SO16 "
"IC1","1","L1","5.66","118.73","270.00","0.00","100","None","True","SO16 "
"IC2","1","L1","175.47","51.58","90.00","0.00","100","None","True","QFN-10 "
"IC2","1","L1","175.47","4.71","90.00","0.00","100","None","True","QFN-10 "
"IC2","1","L1","76.57","4.71","90.00","0.00","100","None","True","QFN-10 "
"IC2","1","L1","76.57","51.58","90.00","0.00","100","None","True","QFN-10 "
"IC2","1","L1","175.47","145.32","90.00","0.00","100","None","True","QFN-10 "
"IC2","1","L1","76.57","145.32","90.00","0.00","100","None","True","QFN-10 "
"IC2","1","L1","175.47","98.45","90.00","0.00","100","None","True","QFN-10 "
"IC2","1","L1","76.57","98.45","90.00","0.00","100","None","True","QFN-10 "
"R1","1","L1","108.47","178.20","180.00","0.00","100","None","True","0805 "
"R1","1","L1","9.57","37.59","180.00","0.00","100","None","True","0805 "
"R1","1","L1","108.47","84.46","180.00","0.00","100","None","True","0805 "
"R1","1","L1","108.47","131.33","180.00","0.00","100","None","True","0805 "
"R1","1","L1","9.57","178.20","180.00","0.00","100","None","True","0805 "
"R1","1","L1","9.57","131.33","180.00","0.00","100","None","True","0805 "
"R1","1","L1","108.47","37.59","180.00","0.00","100","None","True","0805 "
"R1","1","L1","9.57","84.46","180.00","0.00","100","None","True","0805 "
"R2","1","L1","191.19","167.51","360.00","0.00","100","None","True","0805 "
"R2","1","L1","191.19","120.64","360.00","0.00","100","None","True","0805 "
"R2","1","L1","92.29","73.77","360.00","0.00","100","None","True","0805 "
"R2","1","L1","191.19","73.77","360.00","0.00","100","None","True","0805 "
"R2","1","L1","92.29","120.64","360.00","0.00","100","None","True","0805 "
"R2","1","L1","191.19","26.90","360.00","0.00","100","None","True","0805 "
"R2","1","L1","92.29","167.51","360.00","0.00","100","None","True","0805 "
"R2","1","L1","92.29","26.90","360.00","0.00","100","None","True","0805 "
"R3","1","L1","116.98","173.40","180.00","0.00","100","None","True","0805 "
"R3","1","L1","18.08","79.66","180.00","0.00","100","None","True","0805 "
"R3","1","L1","18.08","32.79","180.00","0.00","100","None","True","0805 "
"R3","1","L1","116.98","126.53","180.00","0.00","100","None","True","0805 "
"R3","1","L1","116.98","32.79","180.00","0.00","100","None","True","0805 "
"R3","1","L1","18.08","173.40","180.00","0.00","100","None","True","0805 "
"R3","1","L1","18.08","126.53","180.00","0.00","100","None","True","0805 "
"R3","1","L1","116.98","79.66","180.00","0.00","100","None","True","0805 "
"R30","1","L1","191.29","29.21","360.00","0.00","100","None","True","0805 "
"R30","1","L1","92.39","169.82","360.00","0.00","100","None","True","0805 "
"R30","1","L1","191.29","122.95","360.00","0.00","100","None","True","0805 "
"R30","1","L1","92.39","29.21","360.00","0.00","100","None","True","0805 "
"R30","1","L1","191.29","169.82","360.00","0.00","100","None","True","0805 "
"R30","1","L1","92.39","76.08","360.00","0.00","100","None","True","0805 "
"R30","1","L1","191.29","76.08","360.00","0.00","100","None","True","0805 "
"R30","1","L1","92.39","122.95","360.00","0.00","100","None","True","0805 "
"R32","1","L1","180.95","51.80","360.00","0.00","100","None","True","0805 "
"R32","1","L1","180.95","98.67","360.00","0.00","100","None","True","0805 "
"R32","1","L1","82.05","98.67","360.00","0.00","100","None","True","0805 "
"R32","1","L1","82.05","4.93","360.00","0.00","100","None","True","0805 "
"R32","1","L1","180.95","145.54","360.00","0.00","100","None","True","0805 "
"R32","1","L1","180.95","4.93","360.00","0.00","100","None","True","0805 "
"R32","1","L1","82.05","145.54","360.00","0.00","100","None","True","0805 "
"R32","1","L1","82.05","51.80","360.00","0.00","100","None","True","0805 "
"R33","1","L1","189.71","146.15","90.00","0.00","100","None","True","0805 "
"R33","1","L1","189.71","52.41","90.00","0.00","100","None","True","0805 "
"R33","1","L1","90.81","5.54","90.00","0.00","100","None","True","0805 "
"R33","1","L1","189.71","99.28","90.00","0.00","100","None","True","0805 "
"R33","1","L1","90.81","99.28","90.00","0.00","100","None","True","0805 "
"R33","1","L1","90.81","52.41","90.00","0.00","100","None","True","0805 "
"R33","1","L1","90.81","146.15","90.00","0.00","100","None","True","0805 "
"R33","1","L1","189.71","5.54","90.00","0.00","100","None","True","0805 "
"R36","1","L1","9.09","100.64","270.00","0.00","100","None","True","0805 "
"R36","1","L1","9.09","53.77","270.00","0.00","100","None","True","0805 "
"R36","1","L1","107.99","53.77","270.00","0.00","100","None","True","0805 "
"R36","1","L1","107.99","6.90","270.00","0.00","100","None","True","0805 "
"R36","1","L1","107.99","147.51","270.00","0.00","100","None","True","0805 "
"R36","1","L1","9.09","147.51","270.00","0.00","100","None","True","0805 "
"R36","1","L1","9.09","6.90","270.00","0.00","100","None","True","0805 "
"R36","1","L1","107.99","100.64","270.00","0.00","100","None","True","0805 "
"R37","1","L1","8.95","96.61","360.00","0.00","100","None","True","0805 "
"R37","1","L1","107.85","2.87","360.00","0.00","100","None","True","0805 "
"R37","1","L1","107.85","49.74","360.00","0.00","100","None","True","0805 "
"R37","1","L1","8.95","49.74","360.00","0.00","100","None","True","0805 "
"R37","1","L1","107.85","96.61","360.00","0.00","100","None","True","0805 "
"R37","1","L1","8.95","2.87","360.00","0.00","100","None","True","0805 "
"R37","1","L1","107.85","143.48","360.00","0.00","100","None","True","0805 "
"R37","1","L1","8.95","143.48","360.00","0.00","100","None","True","0805 "
"R38","1","L1","86.46","80.92","270.00","0.00","100","None","True","0805 "
"R38","1","L1","185.36","80.92","270.00","0.00","100","None","True","0805 "
"R38","1","L1","185.36","127.79","270.00","0.00","100","None","True","0805 "
"R38","1","L1","185.36","34.05","270.00","0.00","100","None","True","0805 "
"R38","1","L1","185.36","174.66","270.00","0.00","100","None","True","0805 "
"R38","1","L1","86.46","174.66","270.00","0.00","100","None","True","0805 "
"R38","1","L1","86.46","127.79","270.00","0.00","100","None","True","0805 "
